,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Chris Watts,The cold-hearted case of Chris Watts: Here are all the latest updates – Film Daily,2018-01-01 00:00:00+00:00,kill,43,"Watts, a husband and father, killed his pregnant wife, Shan'Ann, and his two daughters, Bella (4) and Celeste (3) back in 2018. ",Watts a husband and father killed pregnant wife Shan Ann and two daughters Bella 4 and Celeste 3 back in 2018,2018,FALSE,1,TRUE,365 days,2019-01-01 00:00:00+00:00,https://filmdaily.co/news/chris-watts-updates/
1,Chris Watts,Chris Watts movie: The horrific story behind the cruel murders – Film Daily,2018-01-01 00:00:00+00:00,discover,46,", it's because in 2018 it was discovered he had killed his pregnant wife and their two daughters. ",in 2018 it was discovered,2018,FALSE,2,TRUE,365 days,2019-01-01 00:00:00+00:00,https://filmdaily.co/news/chris-watts-movie-story/
2,Chris Watts,"Lifetime Has Your Saturday Nights Covered with New ‘Ripped from the Headlines’ Movies About Chris Watts Murders, More",2018-01-01 00:00:00+00:00,disappear,165,People were riveted when Shanann Watts and her two young daughters disappeared in 2018. ,Shanann Watts and two young daughters disappeared in 2018,2018,FALSE,14,TRUE,365 days,2019-01-01 00:00:00+00:00,https://www.cheatsheet.com/entertainment/lifetime-has-your-saturday-nights-covered-with-new-ripped-from-the-headlines-movies-about-chris-watts-murders-more.html/
3,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-13 00:00:00+00:00,arrest,10,"Christopher Watts, the husband of a pregnant Frederick woman who has been missing along with his two young daughters since Monday has been arrested. ",Monday has been arrested,Monday,FALSE,4,TRUE,7 days,2018-08-20 00:00:00+00:00,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
4,Chris Watts,Coroner positively identifies the bodies of Shanann Watts and her two daughters,2018-08-13 00:00:00+00:00,identify,184,"FREDERICK, Colo. — The Weld County Coroner's Office confirmed late Friday afternoon that they have positively identified the three bodies recovered earlier this week as Shanann Watts, a pregnant mother from Frederick, and her two young daughters.",they have positively identified the three bodies recovered earlier this week as Shanann Watts a pregnant mother from Frederick and two young daughters,earlier this week,FALSE,2,TRUE,7 days,2018-08-20 00:00:00+00:00,https://www.9news.com/article/news/crime/body-recovered-that-is-quite-certain-to-be-shanann-watts-search-for-girls-bodies-continue/73-584555753
5,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-14 00:00:00+00:00,see,9,Please look at the time stamp on the story to see when it was last updated.,to see when,0,FALSE,0,FALSE,,,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
6,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-14 00:00:00+00:00,confirm,12,Police confirm the behavior is out of character and that's why they're concerned. ,Police confirm,0,FALSE,34,FALSE,,,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
7,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-14 00:00:00+00:00,search,13,They searched the neighborhood with K-9s and officers most of the day.,They searched the neighborhood with K 9s and officers most of the day,the day,FALSE,34,TRUE,7 days,2018-08-21 00:00:00+00:00,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
8,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-14 00:00:00+00:00,ask,14,Anyone with information is asked to call police at 303-652-4222 or email.,Anyone with information is asked,0,FALSE,44,FALSE,,,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
9,Chris Watts,"Pregnant woman, 2 daughters reported missing in Frederick",2018-08-14 00:00:00+00:00,call,15,Anyone with information is asked to call police at 303-652-4222 or email.,to call police at or email,0,FALSE,44,FALSE,,,https://kdvr.com/news/local/pregnant-woman-2-daughters-reported-missing-in-frederick/
10,Chris Watts,"Frederick man reportedly held without bond facing murder charges over missing wife, daughters’ deaths",2018-08-15 00:00:00+00:00,find,131,"According to The Denver Channel, Watts last night confessed to killing the three, and investigators believe they know where to find the bodies.",to find the bodies,0,FALSE,4,FALSE,,,https://www.denverpost.com/2018/08/15/husband-of-pregnant-frederick-woman-detained/
11,Chris Watts,Frederick police ask for public’s help in search for missing pregnant woman and her two daughters,2018-08-15 00:00:00+00:00,release,133,"Officials did not release any new information Wednesday afternoon because they didn't want to jeopardize the ongoing investigation, Frederick police spokesman Sgt. ",Officials did not release any new information Wednesday afternoon because,0,FALSE,2,FALSE,,,https://www.denverpost.com/2018/08/15/frederick-missing-pregnant-mom-update/
12,Chris Watts,Frederick police ask for public’s help in search for missing pregnant woman and her two daughters,2018-08-15 00:00:00+00:00,vanish,137,Vanished. ,Vanished,0,FALSE,14,FALSE,,,https://www.denverpost.com/2018/08/15/frederick-missing-pregnant-mom-update/
13,Chris Watts,"FBI, CBI join search for pregnant mom, 2 daughters last seen in Frederick",2018-08-15 00:00:00+00:00,involve,180,"The FBI and Colorado Bureau of Investigation are now involved in the search for a pregnant woman and her two young daughters last seen in Frederick, according to a Wednesday morning update from Frederick Police Department.",The FBI and Colorado Bureau of Investigation are now involved in the search for a pregnant woman and two young daughters last seen in Frederick according to a Wednesday morning update from Frederick Police Department,now,FALSE,0,TRUE,7 days,2018-08-22 00:00:00+00:00,https://www.denverpost.com/2018/08/15/frederick-missing-woman-daughters-2/
14,Chris Watts,"Frederick man suspected of killing wife, two young daughters had climbed from deep financial troubles to apparent prosperity",2018-08-16 00:00:00+00:00,accuse,1,"So the news that Christopher is being accused of killing Shanann and their two daughters, 3-year-old Celeste and 4-year-old Bella, makes no sense to family members and friends who knew them.",Christopher is being accused of,0,FALSE,8,FALSE,,,https://www.denverpost.com/2018/08/16/who-is-christopher-watts-frederick-murders/
15,Chris Watts,"Frederick man suspected of killing wife, two young daughters had climbed from deep financial troubles to apparent prosperity",2018-08-16 00:00:00+00:00,appear,4,The Wattses appeared to be going through a rocky period when they moved from North Carolina to Colorado in 2012. ,The Wattses appeared,0,FALSE,47,FALSE,,,https://www.denverpost.com/2018/08/16/who-is-christopher-watts-frederick-murders/
